Key,Description,Translation
recommendation-register-info-text,Текст гостю для регистрации,"In order to get the role of a resident of the application and additional features in the application, we recommend that you register."
repeat-password-button,Кнопка повторите пароль,Repeat password
enter-email-button,Кнопка введите email,Enter email
empty-input-field-error,Ошибка пустых полей,Not all fields are filled
password-no-equals-error,Ошибка пустых полей,Password mismatch
notifiaction-ready-to-restart,Уведомление о перезагрузке сцены,The data has been sent. The space will be reloaded now
notification-authorisation-error,Уведомление об ошибке авторизации,"An authorization error has occurred, please contact the administrator"
notification-successfull-registration,Уведомление об успешной регистрации,Congratulations! You are a registered user!
50twr-end-maining-text,Уведомление об окончании майнинг после 50 TWR,"You stayed as a guest in the app for 50 minutes and earned 50 TWR. As a guest, you can no longer receive TWR. To save the already received TWR and the opportunity to receive new ones, we advise you to register in the application"
twr-earned-guest,Текущее число ТВР заработанных гостем,"You have earned {0} TWR during your stay in the app. To save the already received TWR and the opportunity to receive new ones, we advise you to register in the application"
apartment-no-admins,Сообщение при пустом списке админов пространства,You haven't assigned any administrators to this space yet
input-username-placeholder,Плейсхолдер в поле ввода имени пользователя,Enter user login
button-add,Кнопка Добавить,Add
apartment-no-blacklist,Сообщение при пустом черном списке пространства,You haven't added anyone to the blacklist yet
empty-name-error,Вы не ввели имя,You didn't enter a name
fail-name,Заполните корректно поле имени,Fill in the name field correctly
email-fail,Вы не ввели email,You have not entered an email
phone-number-fail,Вы ввели некорректный номер телефона,You entered an invalid phone number
fail-server-connect,"Ошибка связи, попробуйте отправить заявку позже","Communication error, please try again later"
manager-call-soon,Ваша заявка отправлена менеджеру и в ближайшее время он с Вами свяжется,Your application has been sent to the manager and he will contact you shortly
close-button,Закрыть,Exit
red-required-fields,Поля обязательные для заполнения,"<color=""red"">*</color>Required fields"
red-enter-email,Введите email,"Enter email<color=""red"">*"
red-enter-name,Введите имя,"Enter Login<color=""red"">*"
enter-phone-number,Введите номер телефона,Enter phone number
enter-comments,Введите комментарий,Enter a comment
fill-all-input-field,Заполните свои данные в форме заявки,Fill out your details in the application form and our manager will contact you and tell you how you can get ownership of the premises
send-request,Отправить заявку,Submit an application
want-space,Хочу помещение,I WANT A ROOM
red-enter-phone-number,Введите номер телефона,"Enter phone number<color=""red"">*</color>"
tips-default-message,Дефолтный текст панели подсказок,Point the beam from your right hand at any interactive object and a brief hint about how it works will appear in this window
cursor-tips-default-message,Дефолтный текст панели подсказок для windows пользователей,Point the cursor at any interacting object and a brief hint about how it works will appear in this window
wallet-transactions-tab,Вкладка Транзакции,Transactions
wallet-purchases-tab,Вкладка Покупки,Purchases
wallet-transactions-buy-sell-tab,Вкладка в панели транзакций,Purchase/Sale
wallet-transactions-transfer-tab,Вкладка в панели транзакций,Transfers
wallet-transactions-mining-burning-tab,Вкладка в панели транзакций,Mining/Burning
wallet-transactions-space-entry-tab,Вкладка в панели транзакций,Entering Spaces
friends-list,Панель меню Мои друзья,My friends
friends-list-empty,"Сообщение, если список друзей пуст","At the moment, the list of users added as friends is empty.
To add a user to your friends list, you need to make your avatars touch (a handshake, a 'high five'), and then confirm the friendship in this window."
friends-list-delete-confirm-message,Подтверждение удаления друга,Remove from friends?
friends-confirmation-waiting,Ожидание подтверждения добавления в друзья,Waiting for confirmation from another user
mafia-admin,кнопки меню ведущего,Set admin
mafia-kick,кнопки меню ведущего,Kick
mafia-game,игра,Game
mafia7,,7 places
mafia14,,14 places
mafia21,,21 places
mafia-start,,Start game
mafia-next,,Finish level
mafia-finish,,Finish game
mafia-win-mafia,,Mafia win!
mafia-win-citizens,,Citizens win!
mafia-settings,,Settings
mafia-presets,,Roles presets
mafia-presets-info,,Set up the number of players for each role
mafia-presets-error,,The number of roles does not match. {1} of the {2} necessary ones have been selected
mafia-your-role,ночное меню,Your role:
mafia-advice,ночное меню,Do you know that {0} does {1}?
mafia-your-role-description,ночное меню,Your role description:
mafia-game-status,ночное меню,Current game status:
mafia-check-notmafia,ответ комиссару,not mafia
mafia-check-mafia,ответ комиссару,mafia
presented-coin,подарочная монета на стартовой сцене,"Catch coin by trigger, or push А button on right controller, to get 50 TWR!"
presented-coin-win,подарочная монета на стартовой сцене для win-клиента,Click on the coin with the mouse to get 50 TWR!
not-full-fledged-user-info,уведомление пользователю до 10 часов,Financial transactions are limited until the total time of your stay in the Sense Tower exceeds 10 hours
full-fledged-notification,уведомление пользователю о 10 часах,Congratulations! The duration of your stay was more than 10 hours. Financial transactions are unblocked!
win-buy-not-enough,если не хватает денег на покупку вин клиентом,You do not have enough {1}TWR to buy a {2}
win-buy-request,вы собираетесь купить,Your balance is {1}TWR. <br>Are you going to buy a {2} for {3}TWR? 
win-buy-complete,покупка состоялась,You bought a {1}. <br>Your account balance {2}TWR
coin-error-when-buy,сообщение о нехватке средств,{1} TWR is not enough to buy {2}
coin-error-default,сообщение об ошибке транзакции,Error. The transfer aborted
coin-cant-give-that-user,сообщение когда нельзя передать неполноценному пользователю,Transfer to new users is not possible
coin-cant-give-because-of-your-status,сообщение когда вы не можете передать поскольку непоноценный,Your financial transactions are still limited
lift-menu-already-there,кнопка данного этажа,already here
lift-menu-no-access,для закрытых этажей,no access
lift-menu-balcony,название балкона,Balcony
metarecord-wait-downloading,,Loading... Please wait
metarecord-wait-saving,,Saving... Please wait
metarecord-name,,Hologram recording and playback
metarecord-instruction,,You can record movements and speech
metarecord-record,,Record
metarecord-stop,,Stop recording
meterecord-play,,Play
meterecord-norecords,,No records
save-exit,,Save and exit
player-sign-seller,,Sells goods in the marketplace
player-sign-space1,,Owns the space
player-sign-space3,,Owns three spaces
player-sign-space4,,Owns four spaces
player-sign-space5,,Owns a lot of spaces
full-fledged-description,,New user
camera-off,,Camera off
camera-starting,,Camera ready
camera-streaming,,Camera streaming
camera-fail,,Camera error
camera-stopping,,Camera stopping
