Key,Description,Translation
friends-list-empty,"Сообщение, если список друзей пуст","В данный момент список пользователей, добавленных в друзья, пуст. 
Для того, чтобы добавить пользователя в список друзей, необходимо осуществить соприкосновение ладоней Ваших аватаров (рукопожатие, ""high five"") и после этого подтвердить дружбу в этом окне"
friends-list-delete-confirm-message,Подтверждение удаления друга,Удалить из друзей?
friends-confirmation-waiting,Ожидание подтверждения добавления в друзья,Ждём подтверждения от другого пользователя
mafia-admin,кнопки меню ведущего,Назначить ведущего
mafia-kick,кнопки меню ведущего,Исключить
mafia-game,игра,Игра
mafia7,,7 мест
mafia14,,14 мест
mafia21,,21 место
mafia-start,,Начать игру
mafia-next,,Завершить этап
mafia-finish,,Завершить игру
mafia-win-mafia,,Мафия победила!
mafia-win-citizens,,Мирные жители победили!
mafia-settings,,Настройки
mafia-presets,,Пресеты ролей
mafia-presets-info,,Настройте количество игроков каждой роли
mafia-presets-error,,Количество ролей не совпадает. Выбрано {1} из {2} необходимых
mafia-your-role,ночное меню,Ваша роль:
mafia-advice,ночное меню,"А вы знали, что роль {0} это {1}?"
mafia-your-role-description,ночное меню,Описание вашей роли:
mafia-game-status,ночное меню,Текущий ход игры:
mafia-check-notmafia,ответ комиссару,не мафия
mafia-check-mafia,ответ комиссару,мафия
presented-coin,подарочная монета на стартовой сцене,"Схватите монету курком контроллера, или притяните его, нажимая кнопку А на правом контроллере, чтобы получить 50 TWR!"
presented-coin-win,подарочная монета на стартовой сцене для win-клиента,"Нажмите на монету мышью, чтобы получить 50 TWR!"
not-full-fledged-user-info,уведомление пользователю до 10 часов,"Финансовые операции ограничены до тех пор, пока суммарное время Вашего пребывания в Sense Tower не превысит 10 часов"
full-fledged-notification,уведомление пользователю о 10 часах,Поздравляем! Время Вашего пребывания составило более 10 часов. Финансовые операции разблокированы!
win-buy-not-enough,если не хватает денег на покупку вин клиентом,Вам не хватает {1}TWR для покупки {2}
win-buy-request,вы собираетесь купить,Ваш баланс {1}TWR. <br>Вы собираетесь купить {2} за {3}TWR 
win-buy-complete,покупка состоялась,Вы купили {1}. <br>Остаток на счете {2}TWR
coin-error-when-buy,сообщение о нехватке средств,Не хватает {1} TWR для покупки {2}
coin-error-default,сообщение об ошибке транзакции,Ошибка.  Передача не состоялась
coin-cant-give-that-user,сообщение когда нельзя передать неполноценному пользователю,Передача новым пользователям невозможна
coin-cant-give-because-of-your-status,сообщение когда вы не можете передать поскольку непоноценный,Ваши финансовые операции пока ограничены
lift-menu-already-there,кнопка данного этажа,вы уже здесь
lift-menu-no-access,для закрытых этажей,нет доступа
lift-menu-balcony,название балкона,Балкон
metarecord-wait-downloading,,Загружается... Подождите
metarecord-wait-saving,,Сохраняется... Подождите
metarecord-name,,Запись и воспроизведение голограммы
metarecord-instruction,,Вы можете записать движения и речь
metarecord-record,,Записать
metarecord-stop,,Стоп запись
meterecord-play,,Воспроизв.
meterecord-norecords,,Записи отсутствуют
save-exit,,Сохранить и закрыть
player-sign-seller,,Продаёт товары в магазине
player-sign-space1,,Владеет пространством
player-sign-space3,,Владеет тремя пространствами
player-sign-space4,,Владеет четырьмя пространствами
player-sign-space5,,Владеет множеством пространств
full-fledged-description,,Новый пользователь
camera-off,,Трансляция выключена
camera-starting,,Трансляция готова к запуску
camera-streaming,,Трансляция идет
camera-fail,,Ошибка камеры
camera-stopping,,Трансляция останавливается
